fleet_no;cost_centre;reg_no;category;group;body_type;status;area_available
685;RMUH01-FLT;FF22GSGP;8 TON;UD95;Fridge/Freezer;;
686;RMUH01-FLT;FF22HBGP;8 TON;UD95;Fridge/Freezer;;
687;RENT01-FLT;FF22HFGP;8 TON;UD95;Frdige/Freezer;;
688;RMUH01-FLT;FF22HMGP;8 TON;UD95;Fridge/Freezer;;
689;RMUH01-FLT;FF22HPGP;8 TON;UD95;Fridge/Freezer;;
690;RMUH01-FLT;FF22HTGP;8 TON;UD95;Fridge/Freezer;;
691;RMUH01-FLT;FF22HXGP;8 TON;UD95;Fridge/Freezer;;
692;JTSP01-FLT;FF22JBGP;8 TON;UD95;Fridge/Freezer;;
693;RMUH01-FLT;FF22JHGP;8 TON;UD95;Fridge/Freezer;;
694;RENT01-FLT;FF22JMGP;8 TON;UD95;Fridge/Freezer;;
695;RMUH01-FLT;FF22JPGP;12 TON;UD90;Fridge/Freezer;;
696;RENT02-FLT;FF42SPGP;6X4;TGS 26-440;;;
697;LNHV01-FLT;FF42STGP;6X4;TGS 26-440;;;
700;RENT02-FLT;FM71RDGP;8 TON;UD90;Dryfreight;;
701;IMPV01-FLT;FM71RGGP;8 TON;UD90;Dryfreight Tail Lift;;
702;RENT02-FLT;FM71MZGP;8 TON;UD90;Dryfreight;;
703;RBJV01-FLT;FN55VZGP;TRAILER;TRI-AXLE;Curtainside;;
704;REXC01-FLT;FN55VVGP;BUS;DAILY 26 S;Bus;;
705;KELL01-FLT;FR81KDGP;10 TON;TGM 18-240;Curtainside;;
706;KELL01-FLT;FR81KFGP;10 TON;TGM 18-240;Curtainside;;
707;PTCV01-FLT;FR81KGGP;10 TON;TGM 18-240;Curtainside;;
708;RENT01-FLT;FR40THGP;5 TON;FE8-150TF;Curtainside;;
709;JTSP01-FLT;FR40SVGP;8 TON;UD80;Curtainside;;
710;RNUC01-FLT;FR40TBGP;8 TON;UD80;;;
711;PTCV01-FLT;FR40TFGP;8 TON;UD80;Curtainside;;
715;IMPV01-FLT;FW28STGP;4 TON;NPR400;Curtainside;;
716;RNUC01-FLT;FW28SWGP;4 TON;NPR400;Curtainside;;
719;RENT02-FLT;FW54HJGP;6X4;TGS 26-440;;;
720;LNHV01-FLT;FW54HDGP;6X4;TGS 26-440;;;
721;LONG01-FLT;FY45XDGP;TRAILER;FRONT LINK;Curtainside;;
722;LONG01-FLT;FY45XJGP;TRAILER;REAR LINK;Curtainside;;
723;LONG01-FLT;FY47DMGP;TRAILER;FRONT LINK;Curtainside;;
724;LONG01-FLT;FY45XCGP;TRAILER;REAR LINK;Curtainside;;
725;LONG01-FLT;FM56MKGP;6X4;TGS 26-440;;;
728;RENT02-FLT;FY57PGGP;6X4;TGS 26-440;;;
729;RENT02-FLT;FY57PVGP;6X4;TGS 26-440;;;
730;LNHV01-FLT;FY57PNGP;6X4;TGS 26-440;;;
731;RENT02-FLT;FY45WVGP;TRAILER;FRONT LINK;Curtainside;;
732;RENT02-FLT;FY45WSGP;TRAILER;REAR LINK;Curtainside;;
733;LONG01-FLT;FY45WPGP;TRAILER;FRONT LINK;Curtainside;;
734;LONG01-FLT;FY45WKGP;TRAILER;REAR LINK;Curtainside;;
735;LONG01-FLT;FY45WJGP;TRAILER;FRONT LINK;Curtainside;;
736;LONG01-FLT;FY45WGGP;TRAILER;REAR LINK;Curtainside;;
737;NIKV01-FLT;FY46RMGP;6X4;UD450;;;
738;RENT01-FLT;FY46RVGP;6X4;UD450;;;
739;RMUH01-FLT;FZ70YYGP;12 TON;UD90;Fridge/Freezer;;
740;RMUH01-FLT;FZ70ZGGP;12 TON;UD90;Frege/Freezer;;
741;RMUH01-FLT;FZ70YTGP;12 TON;UD90;Fridge/Freezer;;
743;RMUH01-FLT;FZ77NBGP;12 TON;UD90;Fridge/Freezer;;
744;RMUH01-FLT;FZ77PNGP;12 TON;UD90;Fridge/Freezer;;
745;RMUH01-FLT;FZ77RBGP;12 TON;UD90;Fridge/Freezer;;
746;RNUC01-FLT;HB61DLGP;1.5 TON;HINO DYNA;Panelvan;;
747;RBJV01-FLT;HB63LFGP;6X4;UD450;;;
748;RBJV01-FLT;HB63KYGP;6X4;UD450;;;
